Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	60.676864	5513	5.22640896835255046229	-0.00145275445784831842
	62.088192	5513	5.23230532490991536668	-0.00247277358831209433
	63.499520	5513	5.23820171287566329222	-0.00337972253990256278
	64.910848	5512	5.24409813227429023874	-0.00032299550944519145
	66.321920	5512	5.24999458313027972389	0.00284697802614149645
	67.732992	5513	5.25589106546810277791	0.00227976854501674887
	69.144320	5513	5.26178757931221800434	0.00182598171571140955
	70.555648	5513	5.26768412468707163381	0.00148570554465680981
	71.966976	5513	5.27358070161709740348	0.00125902799330614390
	73.378304	5513	5.27947731012671677298	0.00114603697891718368
	74.789632	5513	5.28537395024033884467	0.00114682037425596517
	76.200960	5513	5.29127062198236041823	0.00126146600779805804
	77.612288	5513	5.29716732537716601063	0.00149006166381242791
	79.023616	5513	5.30306406044912790731	0.00183269508251797925
	80.434944	5513	5.30896082722260612488	0.00228945395998292069
	81.846272	5513	5.31485762572194852561	0.00286042594850494061
	83.257600	5513	5.32075445597149079228	0.00354569865654411742
	84.668928	5514	5.32665131799555646545	0.00049484203128286743
	86.080512	5514	5.33254821181845695306	-0.00244153878865136002
	87.492096	5513	5.33844513746449162751	-0.00141283870794318867
	88.903424	5513	5.34434209495794772943	-0.00026948791009559107
	90.314752	5513	5.35023908432310049861	0.00098860099575125358
	91.726080	5513	5.35613610558421319573	0.00236151535734077169
	93.137408	5513	5.36203315876553704596	0.00384934247908195331
	94.548736	5514	5.36793024389131137424	0.00160165200497829420
	95.960320	5514	5.37382736098576354201	-0.00053095122890668684
	97.371904	5514	5.37972451007310901658	-0.00254838004688701123
	98.783488	5513	5.38562169117755138413	-0.00060002969848341399
	100.194816	5513	5.39151890432328241738	0.00146366928911672971
	101.606144	5513	5.39741614953448200793	0.00364280396351933109
	103.017472	5514	5.40331342683531833451	0.00208694371261247777
	104.429056	5514	5.40921073624994772164	0.00064669311671886528
	105.840640	5514	5.41510807780251480440	-0.00067786090347277218
	107.252224	5514	5.42100545151715248072	-0.00188663146952351789
	108.663808	5514	5.42690285741798197645	-0.00297953174502623072
	110.075392	5513	5.43280029552911281412	-0.00010595731813194810
	111.486720	5513	5.43869776587464291099	0.00288366094609641286
	112.898048	5514	5.44459526847865856337	0.00213889214075983816
	114.309632	5514	5.45049280336523448657	0.00151034055239467832
	115.721216	5514	5.45639037055843380275	0.00099809280824436243
	117.132800	5514	5.46228797008230812157	0.00060223549410758000
	118.544384	5514	5.46818560196089757577	0.00032285515445568817
	119.955968	5514	5.47408326621823072833	0.00016003829211962580
	121.367552	5514	5.47998096287832477374	0.00011387136899435671
	122.779136	5514	5.48587869196518539919	0.00018444080555805920
	124.190720	5514	5.49177645350280695981	0.00037183298149270697
	125.602304	5514	5.49767424751517233203	0.00067613423514175969
	127.013888	5514	5.50357207402625311574	0.00109743086427610518
	128.425472	5514	5.50946993306000952755	0.00163580912567474798
	129.837056	5514	5.51536782464039050406	0.00229135523549939423
	131.248640	5514	5.52126574879133370181	0.00306415536932799658
	132.660224	5515	5.52716370553676549730	0.00010377804453579594
	134.072064	5515	5.53306169490060103210	-0.00273917302679189562
	135.483904	5514	5.53895971690674426141	-0.00161409417285720610
	136.895488	5514	5.54485777157908795928	-0.00037141699722548637
	138.307072	5514	5.55075585894151370472	0.00098894447376879613
	139.718656	5514	5.55665397901789198404	0.00246707617388950035
	141.130240	5515	5.56255213183208215011	0.00021254637922890127
	142.542080	5515	5.56845031740793248130	-0.00192404143882920979
	143.953920	5514	5.57434853576928019455	-0.00009208384875239774
	145.365504	5514	5.58024678693995146786	0.00185798730614849582
	146.777088	5515	5.58614507094376148023	0.00007574014294049660
	148.188928	5515	5.59204338780451439082	-0.00158822202583894713
	149.600768	5515	5.59794173754600341529	-0.00313381354460275545
